field_name,field_display_name,field_prim_type,field_filter_default,include
master_id,master id,key,,1
strategy_id,strategy id,filter,all,1
cement_production,cement production,input,,1
copper_production,copper production,input,,1
cumplimiento_metas,cumplimiento metas,input,,1
ef_captura,ef captura,input,,1
especies_exoticas,especies exoticas,input,,1
especies_nativas,especies nativas,input,,1
fishing_production,fishing production,input,,1
incendio_bosque_nativo,incendio bosque nativo,input,,1
incendio_plantaciones_forestales,incendio plantaciones forestales,input,,1
incertidumbre_incendio_bn,incertidumbre incendio bn,input,,1
incertidumbre_incendio_plantaciones,incertidumbre incendio plantaciones,input,,1
iron_production,iron production,input,,1
medida_biodigestores,medida biodigestores,input,,1
medida_cambio_dieta_bovina,medida cambio dieta bovina,input,,1
medida_captura_c_suelos,medida captura c suelos,input,,1
medida_uso_eficiente_fertilizante,medida uso eficiente fertilizante,input,,1
pib,pib,input,,1
poblacion,poblacion,input,,1
pqe_vehicular,pqe vehicular,input,,1
precio_bovino,precio bovino,input,,1
precio_cerdo,precio cerdo,input,,1
precio_leche,precio leche,input,,1
precio_maiz,precio maiz,input,,1
precio_pollo,precio pollo,input,,1
ptas_biobio,ptas biobio,input,,1
ptas_valpo,ptas valpo,input,,1
public_intensity,public intensity,input,,1
pulp_intensity,pulp intensity,input,,1
pulp_production,pulp production,input,,1
recuperacion_bn,recuperacion bn,input,,1
saltpeter_production,saltpeter production,input,,1
steel_production,steel production,input,,1
sugar_production,sugar production,input,,1
sustitucion_degradacion,sustitucion degradacion,input,,1
tierras_convertidas_a_bn,tierras convertidas a bn,input,,1
tierras_convertidas_a_plantaciones,tierras convertidas a plantaciones,input,,1
transport_bus_veh_km,transport bus veh km,input,,1
transport_intensity_aviation_kerosene,transport intensity aviation kerosene,input,,1
transport_intensity_bus_diesel,transport intensity bus diesel,input,,1
transport_intensity_bus_electric,transport intensity bus electric,input,,1
transport_intensity_pkm_train,transport intensity pkm train,input,,1
transport_intensity_private_diesel,transport intensity private diesel,input,,1
transport_intensity_private_electric,transport intensity private electric,input,,1
transport_intensity_private_gasoline,transport intensity private gasoline,input,,1
transport_intensity_taxi_electric,transport intensity taxi electric,input,,1
transport_intensity_taxi_gasoline,transport intensity taxi gasoline,input,,1
transport_intensity_train_electric,transport intensity train electric,input,,1
transport_occupancy_rate_bus,transport occupancy rate bus,input,,1
transport_occupancy_rate_private,transport occupancy rate private,input,,1
transport_occupancy_rate_taxi,transport occupancy rate taxi,input,,1
transport_occupancy_rate_train,transport occupancy rate train,input,,1
transport_pkm_aviation,transport pkm aviation,input,,1
transport_tkm_freight_train,transport tkm freight train,input,,1
transport_train13_pkm,transport train13 pkm,input,,1
transport_train5_pkm,transport train5 pkm,input,,1
transport_train8_pkm,transport train8 pkm,input,,1
transport_trip_distance_private,transport trip distance private,input,,1
var_demanda_legna,var demanda legna,input,,1
fuel_price_coal,fuel price coal,input,,1
fuel_price_diesel,fuel price diesel,input,,1
fuel_price_fuel_oil,fuel price fuel oil,input,,1
fuel_price_natural_gas,fuel price natural gas,input,,1
investment_cost_csp_solar,investment cost csp solar,input,,1
investment_cost_geothermal,investment cost geothermal,input,,1
investment_cost_natural_gas_cc,investment cost natural gas cc,input,,1
investment_cost_pv_solar,investment cost pv solar,input,,1
investment_cost_wind,investment cost wind,input,,1
co-emissions_total-mtco2e,co-emissions total-mtco2e,output,,1
im-emissions_total-mtco2e,im-emissions total-mtco2e,output,,1
pu-emissions_total-mtco2e,pu-emissions total-mtco2e,output,,1
re-emissions_total-mtco2e,re-emissions total-mtco2e,output,,1
tx-emissions_total-mtco2e,tx-emissions total-mtco2e,output,,1
ag-emissions_total-mtco2e,ag-emissions total-mtco2e,output,,1
fo-emissions_total-mtco2e,fo-emissions total-mtco2e,output,,1
ip-emissions_total-mtco2e,ip-emissions total-mtco2e,output,,1
wa-emissions_total-mtco2e,wa-emissions total-mtco2e,output,,1
el-emissions_total-mtco2e,el-emissions total-mtco2e,output,,1
